1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,is_pc,is_mobile,is_tablet,is_touch_capable,is_bot,browser,browser_version,os,os_version,device,target_user
144,313,157,266,114,196,254,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
177,190,165,265,116,199,230,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
618,218,201,215,126,223,258,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
187,193,166,219,132,174,273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
229,224,188,204,138,199,192,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
207,168,141,188,130,169,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
203,216,143,226,122,200,294,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
242,174,149,212,130,180,286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
183,205,188,388,138,192,251,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
173,209,125,257,120,211,274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
231,193,151,253,118,181,237,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
204,296,133,230,1228,372,135,171,372,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
262,264,175,268,143,235,323,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
207,329,197,266,129,200,309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
167,207,140,227,127,182,995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
237,207,149,727,137,270,608,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
187,213,150,277,142,181,363,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
192,963,186,386,116,197,396,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
184,207,142,235,119,184,271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
294,292,425,291,136,161,259,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
199,207,143,350,123,187,265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
175,216,170,366,118,178,336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
258,225,145,427,136,214,721,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
135,182,167,208,133,159,286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
185,277,224,401,149,200,569,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
653,199,190,198,119,166,687,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,86,42,10,43,1
